instances,approach_20
0,109.703125
1000,109.703125
2000,109.703125
3000,109.703125
4000,109.7578125
5000,109.7578125
6000,145.7265625
7000,109.7578125
8000,109.7578125
9000,145.9609375
10000,145.9609375
11000,160.2265625
12000,160.2265625
13000,160.2265625
14000,160.2265625
15000,160.2265625
16000,160.2265625
17000,160.2265625
18000,160.2265625
19000,160.2265625
20000,160.2265625
21000,160.2265625
22000,160.2265625
23000,160.2265625
24000,160.2265625
25000,160.2265625
26000,160.2265625
27000,160.28125
28000,109.765625
29000,109.765625
30000,109.765625
31000,109.765625
32000,109.765625
33000,109.765625
34000,109.765625
35000,109.765625
36000,109.765625
37000,109.765625
38000,109.765625
39000,109.765625
40000,109.765625
41000,109.8203125
42000,109.8203125
43000,109.875
44000,182.046875
45000,145.84375
46000,145.84375
47000,182.28125
48000,268.96875
49000,352.8515625
50000,95.2890625
51000,95.2890625
52000,181.75
53000,182.21875
54000,182.21875
55000,182.21875
56000,182.21875
57000,182.21875
58000,182.21875
59000,151.140625
60000,120.0234375
61000,120.0234375
62000,120.0234375
63000,120.0234375
64000,120.0234375
65000,120.0234375
66000,120.0234375
67000,120.0234375
68000,120.0234375
69000,120.0234375
70000,120.0234375
71000,120.0234375
72000,120.0234375
73000,120.0234375
74000,120.0234375
75000,120.0234375
76000,120.0234375
77000,120.0234375
78000,120.0234375
79000,120.0234375
80000,120.0234375
81000,120.0234375
82000,120.0234375
83000,120.0234375
84000,120.0234375
85000,120.0234375
86000,120.0234375
87000,120.0234375
88000,120.0234375
89000,120.0234375
90000,120.0234375
91000,120.0234375
92000,120.0234375
93000,120.0234375
94000,120.0234375
95000,120.0234375
96000,120.0234375
97000,120.0234375
98000,120.0234375
99000,120.0234375
100000,120.0234375
