instances,approach_20
0,51.3125
1000,58.5859375
2000,58.5859375
3000,51.3671875
4000,51.3671875
5000,51.3671875
6000,58.5859375
7000,51.3671875
8000,58.6328125
9000,51.3671875
10000,58.5859375
11000,51.3671875
12000,51.3671875
13000,51.3203125
14000,58.5859375
15000,51.3671875
16000,51.3671875
17000,51.3671875
18000,58.5859375
19000,51.3671875
20000,51.3671875
21000,51.3671875
22000,51.3671875
23000,58.6328125
24000,58.6328125
25000,58.5859375
26000,51.3671875
27000,51.3671875
28000,51.3671875
29000,58.6328125
30000,51.3671875
31000,58.6328125
32000,51.3671875
33000,58.5859375
34000,51.3671875
35000,51.3671875
36000,51.3671875
37000,58.5859375
38000,58.5859375
39000,58.5859375
40000,51.3671875
41000,51.3671875
42000,51.3671875
43000,58.6328125
44000,58.5859375
45000,51.3671875
46000,51.3671875
47000,58.5859375
48000,51.3671875
49000,51.3671875
50000,51.3671875
51000,58.5859375
52000,51.3671875
53000,51.3671875
54000,51.3671875
55000,58.5859375
56000,58.5859375
57000,51.3671875
58000,58.5859375
59000,51.3671875
60000,51.3671875
61000,51.3671875
62000,51.3671875
63000,51.3671875
64000,58.6328125
65000,58.6328125
66000,58.6328125
67000,51.3671875
68000,42.203125
69000,58.5859375
70000,51.3671875
71000,51.3671875
72000,58.5859375
73000,58.6328125
74000,51.3671875
75000,58.5859375
76000,58.6328125
77000,58.6328125
78000,51.3671875
79000,58.6328125
80000,58.5859375
81000,58.6328125
82000,51.3671875
83000,58.6328125
84000,51.3671875
85000,51.3671875
86000,51.3671875
87000,51.3671875
88000,58.6328125
89000,58.5859375
90000,51.3671875
91000,51.3671875
92000,51.3671875
93000,58.5859375
94000,58.5859375
95000,58.5859375
96000,51.3671875
97000,58.5859375
98000,58.5859375
99000,58.6328125
100000,58.6328125
