seed,dimension,n_class,n_cluster_per_class,ratio_affected,scenario_type,approach,pre_accuracy_global,precision_macro,recall_macro,f1_macro,memory_global,execution_time,num_degradations,degradations_per_100_windows,fraction_degraded,avg_recovery_time
4,2,2,1,0.5,3,0,0.997777777777778,0.997806768382886,0.9977946401343456,0.9977998595754288,26.0546875,2.77264404296875,0.0,0.0,0.0,0.0
4,5,2,1,0.5,3,0,0.9651919191919192,0.9672962120532596,0.965383299440239,0.9654785998938372,53.2109375,2.892738103866577,1.0,1.0101010101010102,0.0101010101010101,1.0
3,2,2,4,0.5,2,0,0.9107474747474752,0.9110983908840796,0.911078176088826,0.9110180459528008,259.171875,3.2455596923828125,0.0,0.0,0.0,0.0
3,2,2,4,0.5,1,0,0.8795757575757575,0.8810639834175172,0.8808408430003728,0.8807466700731956,241.2890625,3.40725040435791,3.0,3.0303030303030303,0.2525252525252525,8.333333333333334
4,5,2,2,0.5,1,0,0.8837777777777778,0.8852535990295589,0.884851580716129,0.8848779547462156,362.3046875,3.586162567138672,4.0,4.040404040404041,0.4141414141414141,10.25
3,5,2,1,0.5,1,0,0.8047474747474748,0.8211451889709387,0.8061925138956982,0.804300316269648,375.96875,3.838657379150391,7.0,7.07070707070707,0.3939393939393939,5.571428571428571
3,5,2,4,1.0,1,0,0.8974141414141413,0.8984147897561304,0.8984188710458767,0.8984164390186338,509.2578125,3.8922176361083984,3.0,3.0303030303030303,0.1313131313131313,4.333333333333333
2,10,2,4,0.5,1,0,0.903939393939394,0.9041015811255142,0.90368643235451,0.903672164590503,759.4453125,4.687430143356323,5.0,5.05050505050505,0.1919191919191919,3.8
4,5,2,1,1.0,2,0,0.9648888888888888,0.9669943734783658,0.9650417419380288,0.965137372543134,53.265625,2.9984893798828125,1.0,1.0101010101010102,0.0101010101010101,1.0
4,2,2,2,0.5,3,0,0.98989898989899,0.9900029120870556,0.9900184004378404,0.9899997433482804,36.78125,2.8086822032928467,0.0,0.0,0.0,0.0
4,5,2,4,1.0,1,0,0.7933737373737372,0.8062733364335835,0.7949249029522778,0.7933492205881523,608.765625,3.930996656417847,3.0,3.0303030303030303,0.5252525252525253,17.333333333333332
4,5,2,4,1.0,2,0,0.978,0.97838701545526,0.977865090376566,0.9777749468197354,119.90625,3.432932138442993,0.0,0.0,0.0,0.0
3,2,2,3,0.5,3,0,0.9971111111111112,0.9971393062374074,0.9971404199101832,0.9971398531010612,36.7265625,2.919555902481079,0.0,0.0,0.0,0.0
2,10,2,3,1.0,2,0,0.997979797979798,0.997981054354588,0.9979795292755694,0.9979799560793264,98.734375,3.943022966384888,0.0,0.0,0.0,0.0
2,10,2,1,0.5,1,0,0.8765454545454544,0.8873522637764811,0.8776993514511431,0.8769839389369294,419.4375,4.002246618270874,4.0,4.040404040404041,0.2323232323232323,5.75
4,10,2,1,0.5,1,0,0.75610101010101,0.7609101268974738,0.7585505002988457,0.7579764157752789,690.0390625,4.529167413711548,6.0,6.0606060606060606,0.4343434343434343,7.166666666666667
4,2,2,3,0.5,1,0,0.892,0.8923981067839569,0.8923151107654534,0.8922551943562617,248.3125,3.3997604846954346,3.0,3.0303030303030303,0.3636363636363636,12.0
2,5,2,3,0.5,2,0,0.970060606060606,0.9717869431435168,0.9701308143628332,0.9703053202558872,144.1015625,3.496534824371338,0.0,0.0,0.0,0.0
4,10,2,1,0.5,3,0,0.9651515151515152,0.9667076880331053,0.9654604347173386,0.96545555973424,98.734375,3.64665961265564,0.0,0.0,0.0,0.0
2,10,2,2,1.0,2,0,0.961939393939394,0.9638414180074591,0.9622780160791736,0.9622666294641156,145.640625,3.6352713108062735,0.0,0.0,0.0,0.0
